system,word_f1_score,word_f1_rank,char_f_score,char_f_rank
TranssionMT,40.191161686849135,1,64.96517107570077,3
ONLINE-B,40.098588110386736,2,64.92238887429363,4
Claude-3.5,39.721223985666605,3,65.24348615907749,1
ONLINE-A,39.45092066774352,4,64.75525702360295,6
Dubformer,39.327317511641546,5,64.77520567148052,5
ONLINE-W,39.30324911011908,6,64.70774070184761,7
GPT-4,39.27638020509548,7,64.99144784287905,2
Mistral-Large,38.922542523691895,8,64.66196761205306,8
Gemini-1.5-Pro,38.91968225119179,9,63.76847758316331,11
CommandR-plus,38.77834003928995,10,64.37546489090553,9
IOL-Research,38.58934261264373,11,63.65246845542767,12
Unbabel-Tower70B,38.4865215515189,12,64.11238184680474,10
ONLINE-G,37.4818658060025,13,62.76295734864495,13
Aya23,37.35705265528703,14,62.6975568682976,14
IKUN,35.12371238334547,15,60.57975167862788,16
Llama3-70B,35.01313945500662,16,61.05562764775743,15
IKUN-C,34.801624268640374,17,59.856487420798736,17
CUNI-NL,33.28075277602407,18,57.94497185456004,20
AIST-AIRC,33.19529714872952,19,58.22243811973125,19
Phi-3-Medium,32.93384799089129,20,59.46415952666143,18
NVIDIA-NeMo,30.551244555194245,21,56.422098696426254,21
MSLC,26.384887621632085,22,51.948667494365054,22
Occiglot,24.78824446358312,23,47.63891747279259,23
TSU-HITs,23.336208420942896,24,45.811850996334094,24
CycleL,14.040200136417091,25,38.18901305752166,25
CycleL2,14.040200136417091,25,38.18901305752166,25
