system,word_f1_score,word_f1_rank,char_f_score,char_f_rank
TranssionMT,40.191161686849135,1,64.96517107570077,3
ONLINE-B,40.098588110386736,2,64.92238887429363,4
Claude-3.5,39.721223985666605,3,65.24348615907749,1
ONLINE-A,39.45092066774352,4,64.75525702360295,6
Dubformer,39.327317511641546,5,64.77520567148052,5
ONLINE-W,39.30324911011908,6,64.70774070184761,7
GPT-4,39.27638020509548,7,64.99144784287905,2
Mistral-Large,38.922542523691895,8,64.66196761205306,8
Gemini-1.5-Pro,38.91968225119179,9,63.76847758316331,11
CommandR-plus,38.77834003928995,10,64.37546489090553,9
IOL-Research,38.58934261264373,11,63.65246845542767,12
Unbabel-Tower70B,38.4865215515189,12,64.11238184680474,10
