candidate,word_1_4_f1,system_rank_word_1_4_f1,char_1_6_chrf_like,system_rank_char_1_6_chrf_like,rank_difference_char_minus_word
TranssionMT,40.191161686849135,1,64.96517107570077,3,2
ONLINE-B,40.098588110386736,2,64.92238887429363,4,2
Claude-3.5,39.721223985666605,3,65.24348615907749,1,-2
ONLINE-A,39.45092066774352,4,64.75525702360295,6,2
Dubformer,39.327317511641546,5,64.77520567148052,5,0
ONLINE-W,39.30324911011908,6,64.70774070184761,7,1
GPT-4,39.27638020509548,7,64.99144784287905,2,-5
Mistral-Large,38.922542523691895,8,64.66196761205306,8,0
Gemini-1.5-Pro,38.91968225119179,9,63.76847758316331,11,2
CommandR-plus,38.77834003928995,10,64.37546489090553,9,-1
IOL-Research,38.58934261264373,11,63.65246845542767,12,1
Unbabel-Tower70B,38.4865215515189,12,64.11238184680474,10,-2
ONLINE-G,37.4818658060025,13,62.76295734864495,13,0
Aya23,37.35705265528703,14,62.6975568682976,14,0
IKUN,35.12371238334547,15,60.57975167862788,16,1
Llama3-70B,35.01313945500662,16,61.05562764775743,15,-1
IKUN-C,34.801624268640374,17,59.856487420798736,17,0
CUNI-NL,33.28075277602407,18,57.94497185456004,20,2
AIST-AIRC,33.19529714872952,19,58.22243811973125,19,0
Phi-3-Medium,32.93384799089129,20,59.46415952666143,18,-2
NVIDIA-NeMo,30.551244555194245,21,56.422098696426254,21,0
MSLC,26.384887621632085,22,51.948667494365054,22,0
Occiglot,24.78824446358312,23,47.63891747279259,23,0
TSU-HITs,23.336208420942896,24,45.811850996334094,24,0
CycleL,14.040200136417091,25,38.18901305752166,25,0
CycleL2,14.040200136417091,25,38.18901305752166,25,0
