segment_id,domain,source_words
1,canary,3
2,news,9
3,news,29
4,news,66
5,news,126
6,news,16
7,news,9
8,news,107
9,news,88
10,news,77
11,news,28
12,news,6
13,news,31
14,news,46
15,news,59
16,news,88
17,news,54
18,news,60
19,news,64
20,news,8
21,news,9
22,news,93
23,news,79
24,news,116
25,news,70
26,news,124
27,news,8
28,news,43
29,news,43
30,news,38
31,news,43
32,news,75
33,news,53
34,news,53
35,news,48
36,news,48
37,news,51
38,news,50
39,news,52
40,news,10
41,news,73
42,news,152
43,news,96
44,news,8
45,news,42
46,news,59
47,news,78
48,news,72
49,news,37
50,news,43
51,news,37
52,news,67
53,news,73
54,news,56
55,news,49
56,news,80
57,news,59
58,news,10
59,news,32
60,news,29
61,news,48
62,news,29
63,news,73
64,news,49
65,news,35
66,news,71
67,news,7
68,news,40
69,news,70
70,news,16
71,news,15
72,news,39
73,news,72
74,news,64
75,news,96
76,news,49
77,news,37
78,news,74
79,news,15
80,news,15
81,news,54
82,news,73
83,news,64
84,news,66
85,news,45
86,news,49
87,news,12
88,news,12
89,news,26
90,news,68
91,news,72
92,news,91
93,news,34
94,news,54
95,news,10
96,news,45
97,news,136
98,news,66
99,news,76
100,news,17
101,news,79
102,news,149
103,news,14
104,news,18
105,news,32
106,news,90
107,news,56
108,news,70
109,news,92
110,news,37
111,news,91
112,news,63
113,news,16
114,news,15
115,news,60
116,news,79
117,news,46
118,news,61
119,news,55
120,news,57
121,news,10
122,news,74
123,news,52
124,news,54
125,news,85
126,news,42
127,news,66
128,news,40
129,news,46
130,news,52
131,news,20
132,news,19
133,news,12
134,news,75
135,news,68
136,news,57
137,news,106
138,news,100
139,news,50
140,news,61
141,news,56
142,news,51
143,news,11
144,news,74
145,news,53
146,news,111
147,news,99
148,news,27
149,news,44
150,news,46
151,social,44
152,social,59
153,social,71
154,social,44
155,social,79
156,social,19
157,social,15
158,social,20
159,social,20
160,social,7
161,social,2
162,social,5
163,social,3
164,social,4
165,social,4
166,social,13
167,social,9
168,social,5
169,social,6
170,social,5
171,social,20
172,social,24
173,social,17
174,social,39
175,social,25
176,social,11
177,social,9
178,social,14
179,social,16
180,social,30
181,social,16
182,social,27
183,social,53
184,social,5
185,social,80
186,social,77
187,social,95
188,social,79
189,social,11
190,social,2
191,social,27
192,social,20
193,social,20
194,social,22
195,social,10
196,social,23
197,social,36
198,social,14
199,social,27
200,social,19
201,social,18
202,social,20
203,social,20
204,social,25
205,social,7
206,social,22
207,social,20
208,social,16
209,social,17
210,social,8
211,social,18
212,social,45
213,social,34
214,social,4
215,social,12
216,social,9
217,social,6
218,social,4
219,social,8
220,social,7
221,social,11
222,social,7
223,social,9
224,social,5
225,social,13
226,social,22
227,social,9
228,social,11
229,social,4
230,social,16
231,social,2
232,social,3
233,social,8
234,social,6
235,social,29
236,social,51
237,social,29
238,social,36
239,social,39
240,social,37
241,social,12
242,social,13
243,social,27
244,social,56
245,social,29
246,social,37
247,social,24
248,social,61
249,social,25
250,social,13
251,social,18
252,social,24
253,social,13
254,social,15
255,social,1
256,social,20
257,social,11
258,social,1
259,social,16
260,social,8
261,social,9
262,social,18
263,social,1
264,social,14
265,social,6
266,social,1
267,social,11
268,social,1
269,social,18
270,social,23
271,social,9
272,social,7
273,social,43
274,social,7
275,social,38
276,social,4
277,social,45
278,social,28
279,social,4
280,social,8
281,social,4
282,social,10
283,social,22
284,social,9
285,social,34
286,social,26
287,social,2
288,social,17
289,social,1
290,social,3
291,social,19
292,social,7
293,social,29
294,social,1
295,social,8
296,social,16
297,social,7
298,social,6
299,social,15
300,social,5
301,social,11
302,social,12
303,social,17
304,social,23
305,social,9
306,social,25
307,social,21
308,social,51
309,social,8
310,social,1
311,social,9
312,social,40
313,social,1
314,social,12
315,social,4
316,social,14
317,social,19
318,social,15
319,social,7
320,social,17
321,social,11
322,social,25
